# t,R(g),TS#(g),P(g)
3.633312403553475038e-10,5.627682669261978576e-01,0.000000000000000000e+00,4.372317330738020313e-01
3.689755659336118682e-10,5.607594505605678625e-01,0.000000000000000000e+00,4.392405494394320820e-01
3.746853416164521052e-10,5.587914033734671104e-01,0.000000000000000000e+00,4.412085966265328341e-01
3.860394428775567067e-10,5.550618458846940939e-01,0.000000000000000000e+00,4.449381541153058506e-01
3.865053758118101143e-10,5.549138704556815238e-01,0.000000000000000000e+00,4.450861295443183097e-01
3.973935441386613081e-10,5.515652042765936125e-01,0.000000000000000000e+00,4.484347957234062765e-01
4.048680165404421871e-10,5.493835695700827193e-01,0.000000000000000000e+00,4.506164304299171142e-01
4.087476453997659612e-10,5.482871945661494939e-01,0.000000000000000000e+00,4.517128054338503951e-01
4.201017466608705626e-10,5.452139014284183016e-01,0.000000000000000000e+00,4.547860985715815874e-01
4.241030554183123965e-10,5.441770790238853461e-01,0.000000000000000000e+00,4.558229209761145428e-01
4.314558479219751640e-10,5.423318751165849827e-01,0.000000000000000000e+00,4.576681248834148508e-01
4.428099491830797654e-10,5.396294678807745937e-01,0.000000000000000000e+00,4.603705321192252953e-01
4.442519395630789088e-10,5.392985704857250484e-01,0.000000000000000000e+00,4.607014295142748961e-01
4.541640504441843669e-10,5.370960062334797502e-01,0.000000000000000000e+00,4.629039937665201387e-01
4.653580852203303441e-10,5.347532505437081474e-01,0.000000000000000000e+00,4.652467494562917416e-01
4.655181517052889683e-10,5.347208166871931789e-01,0.000000000000000000e+00,4.652791833128066545e-01
4.768722529663935697e-10,5.324942023439921401e-01,0.000000000000000000e+00,4.675057976560076933e-01
4.874669713156837233e-10,5.305411575800547119e-01,0.000000000000000000e+00,4.694588424199450660e-01
4.882263542274981711e-10,5.304056167759004792e-01,0.000000000000000000e+00,4.695943832240994098e-01
4.995804554886027725e-10,5.284472301453878584e-01,0.000000000000000000e+00,4.715527698546120305e-01
5.106262374514867501e-10,5.266596981853474135e-01,0.000000000000000000e+00,4.733403018146524754e-01
5.109345567497074773e-10,5.266113988061744688e-01,0.000000000000000000e+00,4.733886011938253091e-01
5.222886580108120788e-10,5.248904791119807234e-01,0.000000000000000000e+00,4.751095208880191101e-01
5.336427592719166802e-10,5.232770395662879048e-01,0.000000000000000000e+00,4.767229604337119286e-01
5.348857865592855416e-10,5.231066630800075279e-01,0.000000000000000000e+00,4.768933369199922501e-01
5.449968605330212816e-10,5.217640878289570017e-01,0.000000000000000000e+00,4.782359121710428318e-01
5.563509617941258830e-10,5.203450529202688912e-01,0.000000000000000000e+00,4.796549470797308867e-01
5.602978924292494731e-10,5.198727910978730993e-01,0.000000000000000000e+00,4.801272089021267897e-01
5.677050630552304844e-10,5.190146269468896012e-01,0.000000000000000000e+00,4.809853730531102878e-01
5.790591643163350858e-10,5.177675020154847152e-01,0.000000000000000000e+00,4.822324979845151183e-01
5.869173123482561437e-10,5.169503574094360676e-01,0.000000000000000000e+00,4.830496425905637659e-01
5.904132655774396873e-10,5.165983702327202609e-01,0.000000000000000000e+00,4.834016297672796281e-01
6.017673668385442887e-10,5.155022747123534366e-01,0.000000000000000000e+00,4.844977252876463414e-01
6.131214680996488901e-10,5.144742273992169990e-01,0.000000000000000000e+00,4.855257726007828900e-01
6.148014050893435090e-10,5.143276401051736224e-01,0.000000000000000000e+00,4.856723598948262666e-01
6.244755693607534915e-10,5.135101452061722194e-01,0.000000000000000000e+00,4.864898547938276141e-01
6.358296706218580929e-10,5.126063422311489814e-01,0.000000000000000000e+00,4.873936577688508520e-01
6.440102545067720849e-10,5.119904455313019076e-01,0.000000000000000000e+00,4.880095544686978704e-01
6.471837718829626943e-10,5.117591325720769468e-01,0.000000000000000000e+00,4.882408674279228311e-01
6.585378731440673992e-10,5.109648303268861103e-01,0.000000000000000000e+00,4.890351696731137232e-01
6.698919744051720006e-10,5.102204650225473648e-01,0.000000000000000000e+00,4.897795349774525797e-01
6.746067990030139144e-10,5.099249856669635372e-01,0.000000000000000000e+00,4.900750143330362962e-01
6.812460756662766020e-10,5.095219411574283264e-01,0.000000000000000000e+00,4.904780588425715071e-01
6.926001769273812034e-10,5.088667536516373602e-01,0.000000000000000000e+00,4.911332463483624733e-01
7.039542781884858048e-10,5.082525043614403160e-01,0.000000000000000000e+00,4.917474956385595730e-01
7.066569671466425075e-10,5.081120592798457070e-01,0.000000000000000000e+00,4.918879407201541820e-01
7.153083794495904062e-10,5.076767951431031545e-01,0.000000000000000000e+00,4.923232048568967345e-01
7.266624807106950077e-10,5.071372278528918365e-01,0.000000000000000000e+00,4.928627721471080525e-01
7.380165819717996091e-10,5.066314043470723227e-01,0.000000000000000000e+00,4.933685956529275662e-01
7.402298197333465022e-10,5.065365304889856146e-01,0.000000000000000000e+00,4.934634695110143299e-01
7.493706832329042105e-10,5.061572104443459175e-01,0.000000000000000000e+00,4.938427895556539715e-01
7.607247844940088119e-10,5.057124093373935869e-01,0.000000000000000000e+00,4.942875906626062465e-01
7.720788857551134133e-10,5.052951002050957152e-01,0.000000000000000000e+00,4.947048997949041738e-01
7.753976985961796035e-10,5.051780982765199379e-01,0.000000000000000000e+00,4.948219017234799511e-01
7.834329870162180147e-10,5.049037963519029670e-01,0.000000000000000000e+00,4.950962036480968664e-01
7.947870882773226162e-10,5.045370110822662291e-01,0.000000000000000000e+00,4.954629889177336599e-01
8.061411895384273210e-10,5.041932577006361660e-01,0.000000000000000000e+00,4.958067422993637230e-01
8.122363824856953010e-10,5.040177036526973797e-01,0.000000000000000000e+00,4.959822963473024537e-01
8.174952907995319224e-10,5.038710495114635535e-01,0.000000000000000000e+00,4.961289504885362800e-01
8.288493920606365238e-10,5.035689448213908070e-01,0.000000000000000000e+00,4.964310551786089709e-01
8.402034933217411252e-10,5.032859628878934011e-01,0.000000000000000000e+00,4.967140371121064324e-01
8.508252503558556669e-10,5.030368558116319333e-01,0.000000000000000000e+00,4.969631441883679002e-01
8.515575945828457266e-10,5.030202185454211161e-01,0.000000000000000000e+00,4.969797814545787729e-01
8.629116958439503281e-10,5.027708535592262384e-01,0.000000000000000000e+00,4.972291464407735950e-01
8.742657971050549295e-10,5.025370096945614984e-01,0.000000000000000000e+00,4.974629903054383906e-01
8.856198983661595309e-10,5.023178287166791822e-01,0.000000000000000000e+00,4.976821712833207068e-01
8.912474524075550941e-10,5.022143638920140152e-01,0.000000000000000000e+00,4.977856361079858183e-01
8.969739996272641323e-10,5.021124523908317983e-01,0.000000000000000000e+00,4.978875476091680352e-01
9.083281008883687337e-10,5.019200224822718548e-01,0.000000000000000000e+00,4.980799775177279232e-01
9.196822021494733351e-10,5.017396807562518601e-01,0.000000000000000000e+00,4.982603192437479178e-01
9.310363034105779366e-10,5.015705689780243226e-01,0.000000000000000000e+00,4.984294310219755664e-01
9.335900892583216009e-10,5.015339913476087874e-01,0.000000000000000000e+00,4.984660086523911016e-01
9.423904046716826414e-10,5.014120918033427854e-01,0.000000000000000000e+00,4.985879081966569926e-01
9.537445059327871394e-10,5.012633540649258368e-01,0.000000000000000000e+00,4.987366459350740522e-01
9.650986071938918442e-10,5.011237455151111853e-01,0.000000000000000000e+00,4.988762544848886482e-01
9.764527084549963422e-10,5.009927970046174073e-01,0.000000000000000000e+00,4.990072029953823707e-01
9.779443996242635387e-10,5.009762119525873469e-01,0.000000000000000000e+00,4.990237880474124310e-01
9.878068097161010470e-10,5.008700393841629683e-01,0.000000000000000000e+00,4.991299606158369206e-01
9.991609109772055451e-10,5.007550035044660008e-01,0.000000000000000000e+00,4.992449964955337771e-01
1.010515012238310250e-09,5.006472202162451923e-01,0.000000000000000000e+00,4.993527797837546411e-01
1.021869113499414955e-09,5.005462203702187862e-01,0.000000000000000000e+00,4.994537796297810472e-01
1.024405956918674232e-09,5.005245336109257481e-01,0.000000000000000000e+00,4.994754663890740853e-01
1.033223214760519453e-09,5.004515348171051370e-01,0.000000000000000000e+00,4.995484651828946965e-01
1.044577316021624158e-09,5.003628366433587882e-01,0.000000000000000000e+00,4.996371633566409898e-01
1.055931417282728656e-09,5.002797496696779200e-01,0.000000000000000000e+00,4.997202503303219689e-01
1.067285518543833360e-09,5.002016361721675075e-01,0.000000000000000000e+00,4.997983638278322704e-01
1.073074875190918869e-09,5.001636476899185002e-01,0.000000000000000000e+00,4.998363523100813333e-01
1.078639619804937858e-09,5.001282676613262312e-01,0.000000000000000000e+00,4.998717323386736577e-01
1.089993721066042563e-09,5.000594156476521057e-01,0.000000000000000000e+00,4.999405843523477277e-01
1.101347822327147061e-09,4.999948516416437005e-01,0.000000000000000000e+00,5.000051483583561884e-01
1.112701923588251766e-09,4.999343471537992523e-01,0.000000000000000000e+00,5.000656528462006367e-01
1.124056024849356264e-09,4.998776736946171084e-01,0.000000000000000000e+00,5.001223263053827806e-01
